u,w_tail,mu,sigma,alpha,loglik,aic,ks_tail,n_tail
83.0,0.09839147691664926,3.1986573834657412,0.369548139904805,2.373104049995297,-20002.95164702479,40015.90329404958,0.21531232311942933,471
93.0,0.08899101733862544,3.211904854977768,0.3898787486662919,2.4604387207000045,-20080.954262390474,40171.90852478095,0.16845752940673364,426
102.0,0.07959055776060163,3.225901553456322,0.41164291936611463,2.4984617745379842,-20186.516666021507,40383.033332043015,0.15018333318167665,381
111.0,0.06956340087737622,3.2414878402268417,0.43581318519375406,2.4876881793611094,-20311.854175596167,40633.708351192334,0.14591531637078847,333
120.84000000000015,0.060162941299352415,3.2566096645927356,0.45899489730548426,2.458935916316729,-20425.71923060673,40861.43846121346,0.14112435656989153,288
135.0,0.04992688531439315,3.2736847965608296,0.48496956124131096,2.4174008205706885,-20536.694928625835,41083.38985725167,0.16256230294023122,239
152.1200000000008,0.040108627532901606,3.2908810573025193,0.5112925952977272,2.3392615264247665,-20644.14875434522,41298.29750869044,0.19162811525798662,192
180.42000000000007,0.030081470649676208,3.309623471432904,0.540721667623117,2.252234307544854,-20750.890032923297,41511.78006584659,0.23444608920351584,144
229.28000000000065,0.020054313766450803,3.3300688354772188,0.5743473005735887,2.108671791362858,-20865.772904415102,41741.545808830204,0.31123422227847863,96
486.5600000000013,0.010027156883225401,3.3542536134204903,0.6198042346994846,2.300937747565629,-21000.935651433425,42011.87130286685,0.37271555945519147,48
