k,fold,regime,mask_seed,structured,iid,rho
3,0,persistent,0,0.762140658276954,0.8990707202698435,0.21270938247794563
3,0,persistent,1,0.8771019232964954,0.9040767826954321,0.07657416336297725
3,0,persistent,2,0.7741410221079098,0.9015366661469009,0.20696989178184935
3,0,burst,0,0.6743830293870331,0.8639671901490675,0.5056573449051752
3,0,burst,1,0.6590989034058861,0.8650329644727848,0.49458016357727064
3,0,burst,2,0.6857850595695028,0.8722138000111029,0.4752616164863031
3,1,persistent,0,0.7630773632933159,0.8716355247449121,0.14589973439575032
3,1,persistent,1,0.6739649968742337,0.8307063386191538,0.26352737199350745
3,1,persistent,2,0.7692665512081808,0.862483849893439,0.19523019034971226
3,1,burst,0,0.5538714440164247,0.5904178987396507,0.4751807584476907
3,1,burst,1,0.5650372068276555,0.561252651700058,0.4947801387044415
3,1,burst,2,0.56136722054354,0.5405943164676514,0.5015124686439427
3,2,persistent,0,0.5798260416534938,0.589999209176753,0.13538248528902735
3,2,persistent,1,0.5590809320662443,0.585567630171359,0.22592246452059536
3,2,persistent,2,0.590564856945307,0.5918632656042863,0.07452578746971271
3,2,burst,0,0.4854717979201649,0.5561470133667734,0.4925735548632745
3,2,burst,1,0.496820494564252,0.5594110649616533,0.4816770508826584
3,2,burst,2,0.4650813383862415,0.5584967276573483,0.49585496711664934
3,3,persistent,0,0.546095505917037,0.6957492487253107,0.20105138860503668
3,3,persistent,1,0.6779825582061803,0.687344851924886,0.10068124531643845
3,3,persistent,2,0.7399243572613725,0.6941829121761041,0.1604082930263188
3,3,burst,0,0.6102366220583645,0.7113714355259058,0.48555987010922635
3,3,burst,1,0.5600534984480819,0.7261150057936264,0.47635170424869994
3,3,burst,2,0.6115370366577564,0.7171211512320085,0.4648704498489906
5,0,persistent,0,0.8701492181191846,0.8721274713402593,0.1276256294867674
5,0,persistent,1,0.8711419692398847,0.8726735066730471,0.04594449801778635
5,0,persistent,2,0.8701492181191846,0.8701978099279354,0.12418193506910961
5,0,burst,0,0.6325449030551645,0.82333292239771,0.4900010714668381
5,0,burst,1,0.6476719499681017,0.8233971238279303,0.48776384870888245
5,0,burst,2,0.6803578903627913,0.8222235688732027,0.4838379942140791
5,1,persistent,0,0.8009182047826797,0.840246201547595,0.0875398406374502
5,1,persistent,1,0.8108564596779081,0.8458469771758199,0.15811642319610447
5,1,persistent,2,0.7196121477186078,0.8402372795222623,0.11713811420982735
5,1,burst,0,0.6121797351850102,0.7827783401639241,0.4835491367861886
5,1,burst,1,0.6304073110733578,0.777750328329125,0.48358676405489154
5,1,burst,2,0.6162719050202426,0.7837318166332117,0.4948284639220894
5,2,persistent,0,0.6059568088666382,0.6084955849512295,0.08122949117341641
5,2,persistent,1,0.521691671575417,0.6014289228259667,0.1355534787123572
5,2,persistent,2,0.6090885269811912,0.6103879027324782,0.04471547248182762
5,2,burst,0,0.46763576400237694,0.499327722187759,0.4948203530633437
5,2,burst,1,0.4548028158882836,0.4883106424939273,0.49957943925233644
5,2,burst,2,0.4485567614432486,0.5027548265038275,0.48672897196261683
5,3,persistent,0,0.17418775646265497,0.2269204470311275,0.120630833163022
5,3,persistent,1,0.30627229494262376,0.22159149098139141,0.06040874718986307
5,3,persistent,2,0.2220856784311059,0.22195672900604463,0.09624497581579126
5,3,burst,0,0.36365670491916774,0.26785355721581916,0.48328768989713194
5,3,burst,1,0.3150974176269903,0.2648639963747057,0.47960760269773145
5,3,burst,2,0.3409911926721503,0.25889959675172913,0.4722338033926017
7,0,persistent,0,0.8948065867369199,0.8889902587944402,0.09116116391911956
7,0,persistent,1,0.8964013738038886,0.8923588934851745,0.032817498584133104
7,0,persistent,2,0.8948065867369199,0.8910567804029881,0.08870138219222115
7,0,burst,0,0.6124183976939066,0.8494338685794574,0.49423550841101466
7,0,burst,1,0.6098225018133102,0.8501514598526645,0.48722964595674334
7,0,burst,2,0.6126177034422575,0.8528350916959122,0.4813495890159342
7,1,persistent,0,0.8094574381280406,0.8184756216141545,0.06252845759817871
7,1,persistent,1,0.7590526624933481,0.8140116440437251,0.11294030228293177
7,1,persistent,2,0.819505248088219,0.8183297836125188,0.08367008157844812
7,1,burst,0,0.5865344659259235,0.7090304106619791,0.48234126984126985
7,1,burst,1,0.5705740573343779,0.7183178455766226,0.47929709732498577
7,1,burst,2,0.5310048770209322,0.7044988083836397,0.4923101245810409
7,2,persistent,0,0.6101237739068909,0.6064877033877554,0.05802106512386886
7,2,persistent,1,0.5904369620064124,0.6071780366593674,0.09682391336596945
7,2,persistent,2,0.6183106367043147,0.6047126001433151,0.031939623201305445
7,2,burst,0,0.5413752145233554,0.6027308564123202,0.49172452158433466
7,2,burst,1,0.5415341338691811,0.6026757492199166,0.4948635217326806
7,2,burst,2,0.5423923989574527,0.6028822807092494,0.48393932650941995
7,3,persistent,0,0.22728016164218817,0.310881623138093,0.08616488083073
7,3,persistent,1,0.2335997313474481,0.28109768594011153,0.043149105135616476
7,3,persistent,2,0.19925664865312306,0.29398979329815167,0.06874641129699376
7,3,burst,0,0.4583916578413588,0.42892414100400067,0.4917715297850184
7,3,burst,1,0.44178217110844153,0.42360611118016883,0.47939622200811655
7,3,burst,2,0.4393996316110249,0.42405391755535626,0.4708592449855479
