win_s,fold,severity,mask_seed,structured,iid,rho
1.0,0,1,0,0.6388270732535085,0.7537176992413067,0.08744847192608386
1.0,0,1,1,0.7336123141520664,0.7461781299363347,0.04095711916607439
1.0,0,1,2,0.6998971110207742,0.7436506365494888,0.05150438284766643
1.0,0,3,0,0.735934729324416,0.7363168258866976,0.14656242596541105
1.0,0,3,1,0.6734664760171181,0.7478246089452577,0.11763089315328121
1.0,0,3,2,0.675420554093474,0.745922309044338,0.10638237384506041
1.0,0,10,0,0.549470482746474,0.63563209377495,0.3307652215114902
1.0,0,10,1,0.6485544990844266,0.6743933858171451,0.2562046908315565
1.0,0,10,2,0.6625556052782245,0.6823268340651497,0.27361288794124616
1.0,0,30,0,0.5072901486115726,0.5068388333613733,0.5341388296612177
1.0,0,30,1,0.42826689807345497,0.5122084811068672,0.5186638237384507
1.0,0,30,2,0.48692714083203786,0.5043660359832985,0.5247950722577588
1.0,1,1,0,0.8481446498857678,0.8653150036152685,0.04247463499133878
1.0,1,1,1,0.8375249553586356,0.8638754507789889,0.047988121752041576
1.0,1,1,2,0.8436167950673664,0.870020567326642,0.028428606780499875
1.0,1,3,0,0.8623288088997896,0.8585199984211572,0.0872556297946053
1.0,1,3,1,0.7523042103291947,0.8501181479532729,0.11524870081662955
1.0,1,3,2,0.8048052369977475,0.8661748926052781,0.08051472407819847
1.0,1,10,0,0.6760306310346218,0.8140822942226484,0.1899628804751299
1.0,1,10,1,0.6632182901113192,0.7151390942950764,0.32378124226676563
1.0,1,10,2,0.5183597375016736,0.7580164264195655,0.2896609750061866
1.0,1,30,0,0.5067930169143046,0.566619060082622,0.4503439742637961
1.0,1,30,1,0.40502852929131844,0.5111837252065746,0.49727295223954465
1.0,1,30,2,0.4427617631262828,0.48976086337087427,0.5245236327641672
1.0,2,1,0,0.7068311825983612,0.70835971566837,0.019146741678387248
1.0,2,1,1,0.7165431254170279,0.7678909193897155,0.0769620253164557
1.0,2,1,2,0.6770943757708411,0.7399627455047245,0.0423159868729489
1.0,2,3,0,0.6274968765094394,0.7870587503386064,0.13197374589779653
1.0,2,3,1,0.6647649692442726,0.7789289862904155,0.1127332395686826
1.0,2,3,2,0.6555197795762358,0.784292691120076,0.10144397562119081
1.0,2,10,0,0.5192974348975281,0.8006506033825528,0.2641912798874824
1.0,2,10,1,0.5967304666444585,0.7725648457420266,0.23084857008907642
1.0,2,10,2,0.5976333101933937,0.7995491692691098,0.2506610407876231
1.0,2,30,0,0.42457394707467105,0.5764590469871834,0.5386216596343179
1.0,2,30,1,0.44188113087470726,0.6704314999849558,0.4795874355368026
1.0,2,30,2,0.45518509310425775,0.6427128817819489,0.49454289732770745
1.0,3,1,0,0.8589140473253744,0.8665961620264063,0.03125235404896422
1.0,3,1,1,0.8331390375746167,0.8689653526558886,0.04294726930320151
1.0,3,1,2,0.850001870131783,0.8680098915423057,0.032645951035781544
1.0,3,3,0,0.8285958902502966,0.8706633385195937,0.06610169491525424
1.0,3,3,1,0.8401185972776237,0.8693946079653841,0.08712806026365348
1.0,3,3,2,0.7788662392162142,0.8743240391372323,0.10631826741996234
1.0,3,10,0,0.6866188011586072,0.8717370331014779,0.22234463276836158
1.0,3,10,1,0.6980081392347951,0.8727484457454032,0.2125517890772128
1.0,3,10,2,0.7505237555272363,0.8693082656430295,0.24017890772128062
1.0,3,30,0,0.5431001853850995,0.7933685355132485,0.4465348399246704
1.0,3,30,1,0.5450459133605138,0.7333155998928597,0.48188323917137477
