dataset,model,n,aic,p,mu,sigma,alpha
pamap2,geometric,18530,263661.11566769844,0.0022083929180307235,,,
pamap2,lognormal,18530,221940.84743926435,,3.789850713051081,2.1819374469160158,
pamap2,pareto,18530,335120.779362783,,,,1.2230650166990167
opportunity,geometric,4805,80627.4813603015,0.0006173607231638882,,,
opportunity,lognormal,4805,67382.79800397108,,4.786123839004962,2.23953940364737,
opportunity,pareto,4805,106581.66197690506,,,,1.1825060298038346
