dataset,fold,family,seed,macro_f1_clean,sec
mhealth,4,faware2,44,0.9906201296445198,22
mhealth,5,faware2,44,0.8546161088100827,22
mhealth,6,faware2,44,0.8509374139460881,22
mhealth,7,faware2,44,0.7888901564061072,22
mhealth,8,faware2,44,0.8097150366282685,22
mhealth,9,faware2,44,0.8876404494382023,22
pamap2,0,faware2,44,0.5933843941708422,136
pamap2,1,faware2,44,0.5861627298411248,136
pamap2,2,faware2,44,0.6640228237646215,144
pamap2,3,faware2,44,0.8006858686254096,138
pamap2,4,faware2,44,0.7508423635946325,135
pamap2,5,faware2,44,0.7264879690925511,137
pamap2,6,faware2,44,0.8801887429965987,138
pamap2,7,faware2,44,0.3035524765414832,136
opportunity,0,faware2,44,0.8960853603979396,75
opportunity,1,faware2,44,0.8839527555513527,76
opportunity,2,faware2,44,0.6461710577407405,75
opportunity,3,faware2,44,0.42098393713720716,81
