run_s,ccdf
0.004000000000000001,0.9999999999999906
0.004109953028803758,0.9999999999999873
0.004222928474743296,0.999999999999983
0.00433900941879821,0.9999999999999774
0.0044582812256994345,0.9999999999999698
0.0045808316067055795,0.9999999999999598
0.004706750684104894,0.9999999999999465
0.004836131057490267,0.999999999999929
0.004969067871856011,0.9999999999999057
0.005105658887566514,0.9999999999998751
0.005246004552248204,0.9999999999998348
0.0053902080746577015,0.9999999999997817
0.005538375500580473,0.9999999999997121
0.00569061579081581,0.9999999999996207
0.005847040901305484,0.9999999999995012
0.006007765865464981,0.9999999999993447
0.006172908878777907,0.9999999999991404
0.006342591385715716,0.999999999998874
0.006516938169046733,0.999999999998527
0.006696077441600109,0.9999999999980758
0.00688014094055222,0.9999999999974899
0.007069264024304832,0.9999999999967302
0.007263585772026271,0.9999999999957464
0.0074632490859288135,0.9999999999944743
0.0076684007963575005,0.9999999999928317
0.007879191769767665,0.9999999999907139
0.008095777019670562,0.9999999999879869
0.008318315820628723,0.999999999984481
0.00854697182538481,0.9999999999799796
0.00878191318521017,0.9999999999742083
0.009023312673561547,0.9999999999668195
0.009271347813136904,0.9999999999573733
0.009526201006423778,0.9999999999453137
0.009788059669836202,0.9999999999299398
0.010057116371538801,0.9999999999103684
0.010333568973059438,0.9999999998854886
0.01061762077479454,0.9999999998539055
0.010909480665514133,0.9999999998138701
0.011209363275976462,0.9999999997631922
0.011517489136765266,0.9999999996991334
0.011834084840465695,0.9999999996182757
0.012159383208298154,0.9999999995163583
0.01249362346133264,0.999999999388078
0.01283705139640944,0.9999999992268448
0.01318991956689562,0.9999999990244804
0.013552487468410151,0.9999999987708524
0.013925021729654317,0.999999998453425
0.014307796308487724,0.9999999980567127
0.014701092693394088,0.999999997561615
0.015105200110484955,0.9999999969446075
0.015520415736193623,0.9999999961767623
0.015947044915815622,0.9999999952225587
0.01638540138805649,0.9999999940384474
0.01683580751575202,0.9999999925711168
0.017298594522930522,0.9999999907554028
0.017774102738391598,0.9999999885117742
0.01826268184598043,0.9999999857433124
0.018764691141741667,0.9999999823320895
0.01928049979814205,0.9999999781348311
0.01981048713555604,0.9999999729777336
0.020355042901214104,0.9999999666502792
0.02091456755581883,0.9999999588978694
0.021489472568039604,0.9999999494130634
0.022080180717102403,0.9999999378251773
0.02268712640369734,0.9999999236879574
0.023310755969432394,0.9999999064649957
0.02395152802506849,0.9999998855125032
0.024609913787777073,0.9999998600589991
0.025286397427668438,0.9999998291814018
0.025981476423845358,0.9999997917769371
0.026695661930244162,0.9999997465301835
0.02742947915153204,0.999999691874487
0.02818346772933716,0.9999996259468554
0.028958182139095553,0.9999995465353287
0.02975419209780666,0.9999994510176746
0.03057208298299734,0.9999993362901084
0.03141245626320243,0.9999991986845604
0.0322759299402786,0.9999990338728226
0.03316313900387648,0.9999988367556941
0.03407473589840553,0.9999986013350085
0.03501139100283499,0.9999983205661689
0.035973793123683574,0.9999979861885315
