dataset,burst 1,burst 3,burst 10,burst 30,gradual,persistent
mhealth,0.023090517080019152,0.058645068561335,0.1616270241668167,0.145048664176629,0.13097146985856892,0.14722304942180212
pamap2,-0.008112954775845763,-0.002464135347263604,0.0020055985346461025,-0.005171941707069212,0.1482290763854122,0.17609047810581188
opportunity,0.00596397967144587,0.015275168652132187,0.05643193566087734,0.11930954412401802,0.01558199354588515,0.01232694754672381
